,WindPower
1241,470.85400000000004
1242,439.661
1243,425.30699999999996
1244,383.43
1245,312.16900000000004
1246,276.827
1247,276.132
1249,269.76
1250,254.06799999999998
1251,251.476
1252,216.363
1253,192.387
1254,180.165
1255,140.942
1256,91.851
1257,28.669
1258,10.557
1259,9.195
1260,9.812000000000001
1261,10.954
1262,9.122
1263,9.767999999999999
1264,15.038
1265,13.625
1266,10.99
1267,12.681
1268,21.67
1269,44.861000000000004
1270,99.39399999999999
1271,207.51
1273,388.036
1274,448.289
1275,420.986
1276,428.853
1277,409.296
1278,375.366
1279,334.575
1280,246.377
1281,109.656
1282,52.35
1283,49.336999999999996
1284,92.863
1285,157.188
1286,249.033
1287,477.0
1288,744.308
1289,830.7819999999999
1290,776.706
1291,752.548
1293,650.364
1294,631.342
1296,652.148
1297,557.1080000000001
1298,522.8340000000001
1299,505.522
1300,460.389
1301,457.542
1302,482.745
1303,414.656
1304,224.696
1305,105.006
1306,106.796
1307,146.834
1308,138.792
1309,136.472
1310,196.255
1312,303.909
1313,296.408
1314,308.068
1315,372.76599999999996
1316,479.38
1317,606.124
1318,704.813
1319,723.263
1320,704.752
1321,681.028
1322,640.047
1324,592.502
1325,585.2909999999999
1326,557.294
1327,386.23800000000006
1328,167.229
1330,82.58200000000001
1331,175.36700000000002
1332,235.487
1333,267.089
1334,376.68300000000005
1335,681.257
1337,1001.998
1338,863.8
1339,796.048
1340,734.5169999999999
1341,823.675
1342,731.202
1343,715.303
1344,712.668
1345,710.041
1346,706.138
1348,710.06
1349,717.923
1350,724.548
1351,572.472
1352,309.865
1353,205.981
1354,213.78799999999998
1355,437.84
1356,400.722
1357,386.585
1358,494.189
1359,658.7869999999999
1360,821.922
1361,863.81
1362,728.578
1363,650.382
1364,599.988
1365,615.398
1366,589.359
1367,579.654
1368,581.185
1369,622.387
1370,592.156
1371,555.391
1372,520.742
1373,501.944
1374,475.42900000000003
1375,323.535
1376,115.84100000000001
1377,60.431000000000004
1378,78.433
1379,108.561
1380,115.529
1381,122.48700000000001
1382,213.69400000000002
1383,429.00199999999995
1384,577.845
1385,662.063
1387,836.584
1388,839.163
1389,775.7360000000001
1390,704.3989999999999
1391,621.93
1392,562.168
1393,539.214
1394,534.519
1395,528.335
1396,514.212
1397,481.48
1398,435.764
1399,262.657
1400,127.041
1401,86.068
1402,107.913
1403,135.84799999999998
1404,133.459
1405,125.12200000000001
1406,148.122
1407,236.017
1408,280.222
1409,308.945
1410,323.92900000000003
1411,339.405
1412,343.809
1413,346.652
1417,283.426
1418,260.613
1419,242.24400000000003
1420,228.533
1421,205.861
1422,171.97799999999998
1423,93.844
1424,19.625
1425,17.952
1426,56.911
1427,140.39
1428,226.562
1429,290.059
1430,260.275
1431,355.156
1432,543.091
1433,582.6659999999999
1434,478.381
1435,355.17800000000005
1436,251.84900000000002
1437,285.715
1439,360.51300000000003
1440,399.31300000000005
1441,461.42
1442,469.56699999999995
1443,429.585
1444,372.538
1445,439.583
1446,551.618
1448,695.3810000000001
1449,772.1519999999999
1450,782.013
1451,795.541
1452,776.653
1454,776.6510000000001
1455,828.253
1456,863.819
1457,883.0
1458,882.9810000000001
1459,859.803
1460,825.442
1461,782.068
