,WindSpeed,IrrDirect,IrrDiffuse,Temperature,Percipitation,SnowFlow,SnowMass,AirDensity,RadSurface,RadTop,CloudCover,IsDayBin_Day,IsDayBin_Night,Month_1,Month_2,Month_3,Month_4,Month_5,Month_6,Month_7,Month_8,Month_9,Month_10,Month_11,Month_12
62,5.287000000000001,0.0,0.0,-9.513,0.006,0.006,14.977,1.304,0.306,1.7,0.7070000000000001,1,0,1,0,0,0,0,0,0,0,0,0,0,0
63,5.037,0.0,0.0,-10.016,0.003,0.003,14.982999999999999,1.304,0.0,0.0,0.7190000000000001,0,1,1,0,0,0,0,0,0,0,0,0,0,0
64,4.8180000000000005,0.0,0.0,-10.436,0.002,0.002,14.987,1.305,0.0,0.0,0.742,0,1,1,0,0,0,0,0,0,0,0,0,0,0
65,4.645,0.0,0.0,-10.915999999999999,0.002,0.002,14.99,1.305,0.0,0.0,0.636,0,1,1,0,0,0,0,0,0,0,0,0,0,0
66,4.515,0.0,0.0,-11.349,0.002,0.002,14.994000000000002,1.306,0.0,0.0,0.48700000000000004,0,1,1,0,0,0,0,0,0,0,0,0,0,0
67,4.544,0.0,0.0,-11.753,0.003,0.003,14.997,1.307,0.0,0.0,0.406,0,1,1,0,0,0,0,0,0,0,0,0,0,0
68,4.425,0.0,0.0,-11.883,0.005,0.005,15.003,1.308,0.0,0.0,0.501,0,1,1,0,0,0,0,0,0,0,0,0,0,0
69,4.346,0.0,0.0,-11.878,0.008,0.008,15.011,1.308,0.0,0.0,0.5589999999999999,0,1,1,0,0,0,0,0,0,0,0,0,0,0
70,4.293,0.0,0.0,-11.856,0.009000000000000001,0.009000000000000001,15.020999999999999,1.308,0.0,0.0,0.625,0,1,1,0,0,0,0,0,0,0,0,0,0,0
71,4.237,0.0,0.0,-11.87,0.011000000000000001,0.011000000000000001,15.033,1.308,0.0,0.0,0.73,0,1,1,0,0,0,0,0,0,0,0,0,0,0
72,4.2219999999999995,0.0,0.0,-11.91,0.013999999999999999,0.013999999999999999,15.046,1.307,0.0,0.0,0.8190000000000001,0,1,1,0,0,0,0,0,0,0,0,0,0,0
